REPOSITORY                               TAG                                                        IMAGE ID       CREATED             SIZE
milkyhoop-ragcrud_service-1              working_20250904_0450_before_110min_restore_0450           3e3815cf125c   4 weeks ago         970MB
milkyhoop-cust_context-1                 working_20250904_0450_before_110min_restore_0450           f824ab278273   4 weeks ago         613MB
milkyhoop-memory_service-1               working_20250904_0450_before_110min_restore_0450           dfbd7403801c   4 weeks ago         598MB
milkyhoop-chatbot_service-1              working_20250904_0450_before_110min_restore_0450           f4a27f921f81   4 weeks ago         596MB
milkyhoop-context_service-1              working_20250904_0450_before_110min_restore_0450           8704e19bbdb0   4 weeks ago         599MB
milkyhoop-ragindex_service-1             working_20250904_0450_before_110min_restore_0450           a40d9c782683   4 weeks ago         899MB
milkyhoop-conversation_service-1         working_20250904_0450_before_110min_restore_0450           afc4163b1b7c   4 weeks ago         596MB
milkyhoop-kafka-1                        working_20250904_0450_before_110min_restore_0450           f6e2da0da888   4 weeks ago         832MB
milkyhoop-notification_service-1         working_20250904_0450_before_110min_restore_0450           5db86173d03f   4 weeks ago         32.2MB
milkyhoop-api_gateway-1                  working_20250904_0450_before_110min_restore_0450           f25367170c6b   4 weeks ago         784MB
milkyhoop-flow-executor-1                working_20250904_0450_before_110min_restore_0450           5163ba70030c   4 weeks ago         122MB
milkyhoop-frontend-1                     working_20250904_0450_before_110min_restore_0450           3bfe689f13c4   4 weeks ago         53.6MB
milkyhoop-cust_reference                 latest                                                     a17d2e68e03f   4 weeks ago         595MB
milkyhoop-ragllm_service-1               working_20250904_0235_phase2_complete_ready_for_frontend   586789a2cc3a   4 weeks ago         910MB
milkyhoop-intent_parser-1                working_20250904_0235_phase2_complete_ready_for_frontend   538637ffd038   4 weeks ago         604MB
milkyhoop-ragindex_service-1             working_20250904_0235_phase2_complete_ready_for_frontend   bc497279880e   4 weeks ago         901MB
milkyhoop-context_service-1              working_20250904_0235_phase2_complete_ready_for_frontend   f1a6736dc621   4 weeks ago         600MB
milkyhoop-memory_service-1               working_20250904_0235_phase2_complete_ready_for_frontend   d192a9109b40   4 weeks ago         599MB
milkyhoop-cust_context-1                 working_20250904_0235_phase2_complete_ready_for_frontend   ae7ff3fc992d   4 weeks ago         614MB
milkyhoop-conversation_service-1         working_20250904_0235_phase2_complete_ready_for_frontend   12e9a7ba0981   4 weeks ago         598MB
milkyhoop-kafka-1                        working_20250904_0235_phase2_complete_ready_for_frontend   0c9d0f101f10   4 weeks ago         832MB
milkyhoop-notification_service-1         working_20250904_0235_phase2_complete_ready_for_frontend   ba589591a82d   4 weeks ago         32.2MB
milkyhoop-flow-executor-1                working_20250904_0235_phase2_complete_ready_for_frontend   5082a96a62bb   4 weeks ago         122MB
milkyhoop-tenant_parser-1                working_20250904_0235_phase2_complete_ready_for_frontend   6e342021ca8e   4 weeks ago         819MB
milkyhoop-postgres-1                     working_20250904_0235_phase2_complete_ready_for_frontend   14b7e838bb1e   4 weeks ago         426MB
milkyhoop-chatbot_service-1              working_20250904_0235_phase2_complete_ready_for_frontend   ef12aab2fc50   4 weeks ago         596MB
milkyhoop-ragcrud_service-1              working_20250904_0235_phase2_complete_ready_for_frontend   8325b96cf802   4 weeks ago         971MB
milkyhoop-redis-1                        working_20250904_0235_phase2_complete_ready_for_frontend   82812929c055   4 weeks ago         128MB
milkyhoop-api_gateway-1                  working_20250904_0235_phase2_complete_ready_for_frontend   1ff5b43b9c3d   4 weeks ago         792MB
milkyhoop-frontend-1                     working_20250904_0235_phase2_complete_ready_for_frontend   ae8bf43f7e57   4 weeks ago         53.6MB
milkyhoop-frontend                       latest                                                     8e37cb5812fb   4 weeks ago         53.6MB
milkyhoop-frontend                       restored_working_state                                     8e37cb5812fb   4 weeks ago         53.6MB
milkyhoop-frontend                       rollback_point_1756950529                                  e07064edca29   4 weeks ago         53.6MB
<none>                                   <none>                                                     57f02858d53f   4 weeks ago         470MB
milkyhoop-tenant_parser                  latest                                                     ef49ace6f885   7 weeks ago         785MB
nginx                                    alpine                                                     4a86014ec699   7 weeks ago         52.5MB
python                                   3.11-slim                                                  2ba2e944f9cd   8 weeks ago         125MB
